text,label
Американка проехала с трупом в чемодане более полутора тысяч километров,3
Житель Тольятти до смерти забил мухлевавшую соседку-картежницу,3
В Москве задержали подозреваемого в двойном ограблении салона связи,3
В Бельгии арестована подозреваемая в пособничестве террористам женщина,3
В США арестован украинец за незаконный экспорт ночных прицелов и тепловизоров,3
Боевики атаковали военный госпиталь в Кабуле,3
Боевики взяли в заложники медперсонал и пациентов кабульской больницы,3
Американца обвинили в покушении на убийство манекена,3
Полиция в Кабуле отбила атаку террористов на госпиталь,3
В сделанных боевиками туннелях Мосула нашлись две статуи крылатых быков,3
Одного из самых разыскиваемых в Британии преступников нашли за шкафом,3
Раненный во время покушения офицер ФСИН умер в Петербурге,3
Двух коммерсантов расстреляли в лифте дома в Армавире,3
Собутыльник украл у омича установленный тюремщиками «маячок»,3
Социологи подсчитали число жертв коррупции в Азиатско-Тихоокеанском регионе,3
В Индии раскрыли банду охотившихся на сирот педофилов,3
Московского гаишника задержали по подозрению в грабеже,3
Российские моряки освобождены из нигерийского плена,3
В Малайзии арестовали семь человек за связи с террористами,3
В Дагестане ликвидировали связанную с ИГ бандгруппу,3
В Благовещенске расправились с семьей предпринимателя,3
В Перми нашли тело пропавшей десятилетней школьницы,3
В пригороде Парижа задержали четырех подозреваемых в подготовке теракта,3
Пхеньян огласил собственную версию смерти корейца в аэропорту Куала-Лумпура,3
В Германии задержали подозреваемого в совершении военных преступлений в Сирии,3
В Вене иракских беженцев отправили в тюрьму за групповое изнасилование,3
Гражданкам Вьетнама и Индонезии предъявили обвинения в убийстве Ким Чен Нама,3
Тела двух сотрудников ФСИН найдены в квартире в Йошкар-Оле,3
«Богатые русские дети» устроили дрифт на BMW в потоке машин близ МГУ,3
В результате атаки талибов на блокпост погибли 12 афганских полицейских,3
В МВД посетовали на скудность базы генетического материала россиян,3
Во Франции задержаны три подозреваемые в подготовке теракта девушки,3
В Германии подозреваемый в убийстве во время погони задавил двух полицейских,3
В Бахрейне при подрыве автобуса ранены пятеро полицейских,3
Под Самарой задержали готовившего теракт сторонника ИГ,3
Китайские фонари над хабаровским НПЗ приняли за теракт,3
Задержаны причастные к отравлению метанолом жителей Подмосковья бутлегеры,3
Стрельбу и взрыв в Екатеринбурге устроили Король и Ян,3
Два берлинских стритрейсера получили пожизненные сроки,3
Давивший людей водитель в Гейдельберге оказался гражданином ФРГ,3
Власти Малайзии обнародовали результаты вскрытия тела Ким Чен Нама,3
Индонезийка получила 90 долларов за убийство брата Ким Чен Ына,3
Полиция заявила о симптомах отравления у подозреваемой по делу Ким Чен Нама,3
В США ветеран-морпех расстрелял в баре компанию индийцев,3
После перестрелки и взрыва гранаты в Екатеринбурге возбуждено уголовное дело,3
Майор в отставке застрелил грабителя из краденого пистолета,3
В Москве поймали криминального авторитета Васю Бандита,3
Японские и южнокорейские националисты подрались из-за спорных островов,3
В Германии арестовали россиянина по подозрению в финансировании ИГ,3
Власти китайского Синьцзяна выдадут 100 миллионов юаней за сведения о терактах,3
Неизвестные в Нигерии похитили двух немецких археологов,3
Десятки молодых людей устроили погромы в Стокгольме,3
Молодой житель Приморья заказал убийство за 50 тысяч рублей из-за девушки,3
В Франции арестованы трое подозреваемых в террористической деятельности,3
Застреливший инструктора подросток оказался сторонником «Правого сектора»,3
В сети появилось видео стрельбы из обреза у зеленоградского ночного клуба,3
Полицейские в Нью-Йорке застрелили вооруженного муляжом пистолета грабителя,3
Жителя Кировской области заподозрили в оправдании терроризма,3
Задержанная за убийство брата Ким Чен Ына говорила об участии в съемках телешоу,3
Парижские воры залезли в пустую квартиру семьи бен Ладена и ушли ни с чем,3
В Малайзии арестовали одного из подозреваемых в убийстве Ким Чен Нама,3
В Синьцзяне провели парад для устрашения сепаратистов,3
Африканцев заподозрили в убийстве чернокожего студента в Казани,3
Пакистанские военные провели акцию возмездия после теракта в Сехван-Шарифе,3
Лжегенерал американской армии выманил у астраханки 13 тысяч долларов,3
При теракте на Синайском полуострове погибли пять человек,3
Пленный исламист признался в массовых изнасилованиях,3
Задержана вторая подозреваемая по делу об убийстве брата Ким Чен Ына,3
На заборе между Мексикой и США нашли катапульту для переброски марихуаны,3
В США убийцу ребенка осудили через 40 лет после преступления,3
В Синьцзяне напавшие на толпу преступники с ножами убили 5 человек,3
В Японии сотрудник кредитной компании расстрелял коллег,3
В сети появились кадры атаки смертника в Лахоре,3
Полиция обнаружила третьего подозреваемого в нападении на столичных инкассаторов,3
Опубликовано видео захвата в Москве участника налета на инкассаторов,3
По делу об убийстве брата Ким Чен Ына задержана гражданка Мьянмы,3
Причина смерти брата Ким Чен Ына осталась неясной после вскрытия,3
Посетитель столичного салона связи прогнал трех грабителей с топорами,3
В Москве бандиты устроили перестрелку с инкассаторами «Почты России»,3
В Кузбассе за аферу задержали цыганского трансвестита Риту,3
Стали известны подробности нападения на фельдъегерей «Спецсвязи» в Москве,3
Появилось видео нападения на инкассаторов в Москве,3
Полиция задержала на Ставрополье двух продавцов стреляющих авторучек,3
Екатеринбуржец попытался вывезти в Киргизию компоненты для химоружия,3
Источник допустил наличие бомбы в машине напавших на московских фельдъегерей,3
Мужчина захватил заложников и открыл стрельбу по полиции в Кемеровской области,3
В Анталье турок застрелил русскую жену и отравил двух детей,3
В Новосибирской области у курьера изъяли наркотиков на 50 миллионов рублей,3
В пригороде Парижа произошли столкновения манифестантов с полицией,3
Мужчина захватил несколько человек в заложники под Белгородом,3
Полицейские задержали серийного грабителя в московском метро,3
Силовики освободили взятую сыном в заложницы жительницу Белгородской области,3
На вице-губернатора Кубани возбудили дело о превышении должностных полномочий,3
На границе с Белоруссией задержали разыскиваемого полковника полиции,3
В Балашихе арестовали напавшего на офис УК с двумя пистолетами,3
Опубликовано письмо главного обвиняемого по делу о терактах 11 сентября Обаме,3
Отсидевший за покушение на односельчанина житель Приамурья задушил его,3
Посольство в Нигерии сообщило о состоянии взятых в заложники российских моряков,3
Опубликовано видео найма жительницей Орехово-Зуева исполнителя для убийства,3
По подозрению в подготовке теракта в Турции задержаны четверо боевиков ИГ,3
Полиция Германии задержала двух предполагаемых членов ИГ,3
Замначальника УМВД по Приморью задержан за злоупотребления,3
Палестинец открыл огонь на рынке израильского города Петах-Тиква,3
Наркодилер сбежал из суда в Петербурге после оглашения приговора,3
Росгвардия задержала открывшего стрельбу разбойника в Балашихе,3
В России пресекли деятельность укравших более миллиарда рублей хакеров,3
Российские моряки похищены в территориальных водах Нигерии,3
Неизвестные отобрали у безработного москвича десять миллионов рублей,3
Задержан напавший на начальника московской пожарной части,3
В Якутске пациент насмерть замерз у закрытых дверей дома инвалидов,3
В центре Кабула произошел теракт,3
Опубликовано видео с места теракта в Кабуле,3
Полиция Вены отпустила большинство задержанных выходцев из Чечни,3
Полиция конфисковала крупнейшую в истории Австралии партию кокаина,3
Безработный китаец задержан за попытку увезти из России детали к военной технике,3
В иркутском ритуальном агентстве обнаружили подпольное казино,3
Неизвестный искромсал топором начальника пожарной части в столице,3
Десятерых криминальных авторитетов задержали в Курске среди гаражей,3
Египетская армия уничтожила 14 боевиков  ИГ в центральном Синае,3
Уральский спасатель приехал тушить подожженный им дом,3
Двух иркутских полицейских заподозрили во взятке в 20 миллионов рублей,3
В Москве осудили коммунальщиков за похищение и двухдневное избиение дворников,3
СМИ назвали имя напавшего на военный патруль у Лувра,3
Полиция задержала 17-летнего колумбийца за три десятка убийств,3
Глава МВД Австрии прокомментировал задержание выходцев из Чечни,3
У московской пенсионерки в подъезде отобрали более полутора миллионов рублей,3
В Париже солдат ранил пытавшегося войти в Лувр человека с ножом и чемоданом,3
Тело пропавшей в Москве девушки найдено в Подмосковье,3
Похищенный из-за долгов москвич сумел сбежать из плена,3
Министр ЖКХ Ингушетии задержан по подозрению в мошенничестве,3
В Делавэре заключенные захватили в заложники работников тюрьмы,3
На севере Москвы приезжие с Кавказа избили эвакуаторщика,3
В Измайловском парке обнаружено расчлененное женское тело,3
В ломбард Якутска попытались сдать ранее украденные оттуда телефоны,3
Случайный знакомый из соцсетей ограбил жительницу Балашихи на 700 тысяч рублей,3
Задержанный в Сочи за кражу велосипеда мужчина оказался торговцем людьми,3
Подмосковные следователи завели дело на станцевавшего у Вечного огня подростка,3
В Италии задержаны три пособницы мафии,3
Расследование убийства российской пары на Фиджи зашло в тупик,3
Немецкая полиция сообщила о разгроме салафитского подполья в Гессене,3
Ударившая ножом мужа москвичка попыталась покончить с собой,3
Появилось видео неудачной попытки взлома банкомата в Москве,3
Сбивший гаишника в Северной Осетии вооруженный автомобилист попал на видео,3
Сотрудники ФСБ предотвратили теракт на новогодние праздники в Краснодарском крае,3
В Карелии на кидавшегося тарелкой в надзирателей осужденного завели два дела,3
Подозреваемого в нападении на мечеть в Квебеке обвинили в убийстве,3
Полицейские освободили обманом вывезенную в Юго-Западную Азию москвичку,3
Российские таможенники задержали гражданина Молдавии с 32 грудными имплантами,3
Группе арестованных иркутских бутлегеров предъявлены обвинения,3
Появилось видео задержания в Москве похитителей людей,3
В Италии арестовали продававших вертолеты и ПЗРК контрабандистов,3
Пять человек погибли в результате стрельбы в канадской мечети,3
Премьер-министр Канады назвал стрельбу в мечети трусливым нападением,3
В Петербурге повар из Африки ранил посетителя тесаком,3
Тамбовских школьников заподозрили в поджоге железнодорожной станции,3
В Подольске врач надругался над беспомощной пациенткой,3
СМИ узнали подробности о напавших на мусульман в Квебеке,3
Нижегородскую школьницу спасли из плена в Дагестане,3
СМИ сообщили о самодельной бомбе в порту Севастополя,3
Уголовное дело возбудили после исчезновения 12-летней девочки в Новокузнецке,3
Безработного жителя Тамбовской области поймали за кражу 20 шуб через дыру в полу,3
В Подмосковье арестовали укравших сумку с семью килограммами золота,3
Казахстанец пытался ввезти в Россию 19 тонн насвая под видом куриного корма,3
"Ограбивший банк с помощью зажигалки и шокера челябинец получил 8,5 лет колонии",3
В Марокко арестованы связанные с ИГ боевики,3
Появилось видео с найденным в Подмосковье «гангстерским» арсеналом,3
В Италии задержаны 33 мафиози,3
Полицейские предотвратили теракты в Москве перед выборами в Госдуму,3
Пырнувшей ножом полицейского немке дали шесть лет тюрьмы,3
Московская полиция отчиталась о поимке пяти воров в законе за год,3
Силовики предотвратили теракт на Казанском авиационном заводе,3
В Кувейте казнили принца-убийцу,3
Немецкая полиция провела спецоперацию против «Граждан рейха»,3
Американка осквернила мечеть беконом,3
Россиянка арестована в Таиланде за ввоз кокаина из Бразилии,3
Предполагаемый убийца хабаровской семьи задержан полицией,3
Появилось видео с пострадавшей от стрельбы женой бывшего партнера Чубайса,3
При стрельбе в торговом центре в Техасе пострадали семь человек,3
Покушавшийся на мэра и секретаря парткома китайский чиновник действовал из мести,3
Группу псевдоцелителей обвинили в мошенничестве на 13 миллионов рублей,3
Жительницу Краснодарского края расстреляли из автомата,3
СМИ сообщили о явке предполагаемого убийцы жительницы Кубани в полицию,3
Ликвидация подозреваемого в расстреле столичного бизнесмена попала на видео,3
Мексика выдала США наркобарона Коротышку,3
Американские женщины-заключенные восторженно встретили наркобарона Коротышку,3
Изготовители фальшивых документов для террористов получили сроки в Бельгии,3
После убийства перевозчика денег в Химках возбудили дело по трем статьям,3
В квартире стрелявшего по полицейским на востоке Москвы нашли оружие,3
Появилась ориентировка на ранившего столичных полицейских «перовского стрелка»,3
Стамбульский террорист рассказал о своей изначальной цели,3
Заступившийся за прохожих ингушский полицейский убил брата,3
Причиной взрыва автомобиля в Рязани стала бомба,3
В Казани задержали двоих вербовщиков «Таблиги Джаамат»,3
Ахмеда Сутулого со свертком наркотиков задержали в московском ресторане,3
Подозреваемый в краже велосипедов открыл огонь по полицейским в Москве,3
Вдову стрелка из Орландо обвинили в пособничестве террористу,3
В столичном метро мужчину задержали за инсценировку кражи iPhone,3
Сотрудники секретариата Ольги Голодец стали участниками массовой драки в Москве,3
В Самаре задержали братьев со складом боеприпасов для поставки на Украину,3
В центре Москвы расстреляли директора автосервиса,3
Кировчанина заподозрили в краже посылок с пневматическим оружием,3
Задержан подозреваемый в совершении теракта в Стамбуле,3
В результате стрельбы на празднике в Майами пострадали восемь человек,3
Дилер попытался закинуть партию гашиша в бурятскую колонию с помощью арбалета,3
Подмосковную восьмиклассницу похитили из-за долгов отца,3
Из московской квартиры вынесли сейф с ценностями на пять миллионов рублей,3
В Испании арестовали вербовщика ИГ из Марокко,3
Командира сочинского полка ДПС уволили из-за коррупции,3
В Чечне за неделю задержали более 60 связанных с ИГ боевиков,3
Под Дамаском застрелили переговорщика от сирийского правительства с боевиками,3
Мейдофф монополизировал в тюрьме подпольную торговлю горячим шоколадом,3
Несколько заключенных обезглавлены в ходе бунта в бразильской тюрьме,3
"Тамбовского подростка заподозрили в убийстве спящих бабушки, отца и сестры",3
"Житель Назрани нашел у сына оружие, посчитал его боевиком и убил",3
Задержаны все подозреваемые в нападении на журналистов Life,3
Налетчики ограбили банк в Аргентине за 30 секунд,3
В Подмосковье арестовали фальшивомонетчиков с 4 миллионами рублей,3
"В Москве мужчину ударили битой по голове и ограбили на 1,5 миллиона рублей",3
Замглавы корпорации Samsung 22 часа допрашивали по делу о коррупции,3
Недовольные повышением цен на проезд бразильцы побили витрины магазинов,3
Душевнобольной обстрелял помощника шерифа Трупа,3
Полиция задержала двух подозреваемых в причастности к теракту в Стамбуле,3
Томские полицейские задержали покупателя продмага за кражу бульонного кубика,3
Подозреваемая в похищении «дедовского младенца» отпущена под подписку о невыезде,3
В Дамаске в результате теракта погибли шесть человек,3
Мужчина получил 23 года колонии за убийства в споре о лучшей статье УК,3
Убийцу девяти афроамериканцев в США приговорили к смертной казни,3
Застреливший грабителя владелец оружейного магазина попал на камеру наблюдения,3
Спецназ освободил пленника сектантов из столичной квартиры,3
Испанских родителей-мошенников заподозрили в сексуальной эксплуатации дочери,3
Израильские солдаты застрелили напавшего на них с ножом палестинца,3
Сотрудник «Почты России» попытался украсть из посылок три мобильных телефона,3
Мексиканских полицейских уличили в мародерстве,3
Появилось видео поджога покупателем магазина в Волгоградской области,3
Турецкие полицейские застрелили предполагаемого смертника,3
Падение мигранта под поезд метро в Петербурге оказалось убийством,3
В Китае убиты трое подозреваемых в терроризме,3
Московский стрелок-убийца оказался звездой телешоу про оружие,3
Серийного убийцу Чарльза Мэнсона вернули из больницы в тюрьму,3
Флоридскому стрелку предъявили обвинения,3
В Москве подозреваемый в убийстве ранил двух полицейских перед суицидом,3
Суд продлил задержание стрелявшим в центре Москвы из автомата дагестанцам,3
Неизвестный на грузовике совершил наезд на пешеходов в Иерусалиме,3
СМИ узнали подробности о личности предполагаемого московского стрелка-убийцы,3
СМИ узнали о военном прошлом стрелка из аэропорта во Флориде,3
СМИ сообщили о жалобах флоридского стрелка на просмотр роликов ИГ,3
Подозреваемые в разбое задержаны в Москве,3
В сгоревшей гостинице в Москве нашли еще два трупа,3
Двух террористов ликвидировали в столице Саудовской Аравии,3
Установлена личность подозреваемого в совершении теракта в Стамбуле,3
WSJ узнала о неспособности спецслужб ФРГ оценить угрозу берлинского террориста,3
Рецидивист Паровоз зарубил четырех человек топором на Урале,3
При теракте в сирийском городе Джебла погибли девять человек,3
У здания суда в Измире взорвался автомобиль,3
150 заключенных сбежали после вооруженного нападения на филиппинскую тюрьму,3
У подмосковной пенсионерки изъяли килограмм героина,3
При стрельбе у ресторана в Стамбуле пострадали два человека,3
Смертники атаковали два полицейских участка в Самарре,3
Исполнителем теракта в стамбульском ночном клубе оказался гражданин Киргизии,3
Газета сообщила о проникновении в Европу главаря ИГ с 400 боевиками,3
В теракте в стамбульском ночном клубе погибла россиянка,3
В польском городе вспыхнули беспорядки после убийства мужчины в кафе,3
Названо имя погибшей при нападении на стамбульский ночной клуб россиянки,3
Унесший 35 жизней взрыв в Багдаде попал на видео,3
Евкуров назвал причину убийства журналиста в Ингушетии,3
В Германии арестовали готовившего теракт на заминированных грузовиках мигранта,3
В Стамбуле совершено нападение на ночной клуб,3
Губернатор Стамбула сообщил о 35 погибших при атаке на ночной клуб,3
Хозяин клуба в Стамбуле сообщил о поступившем из США предупреждении о теракте,3
Власти сообщили о ликвидации напавшего на ночной клуб в Стамбуле террориста,3
Глава МВД Турции сообщил о продолжающихся поисках стамбульского террориста,3
Появилось видео нападения стамбульского террориста на ночной клуб,3
Двое силовиков пострадали в спецоперации в Дагестане,3
Число жертв атаки на ночной клуб в Стамбуле возросло до 39,3
Житель Ингушетии зарезал своего соседа-журналиста,3
Бразильский полицейский признался в убийстве греческого посла,3
Энергооператор в Вермонте сообщил о взломе хакерами лишь одного ноутбука,3
Грабители с пистолетом забрали 5 миллионов рублей из машины москвича,3
Задержаны все подозреваемые в нападении на бойцов Росгвардии в Новой Москве,3
В перестрелке в Дагестане ликвидировали двух боевиков,3
Возбуждено уголовное дело по факту расстрела бойцов Росгвардии,3
В Рио в сгоревшей машине нашли тело пропавшего греческого посла,3
СМИ узнали о криминальном прошлом задержанных за нападение на росгвардейцев,3
Силовики ликвидировали боевика в Каспийске,3
Давивший людей грузовик в Берлине остановил бортовой компьютер,3
Появилось видео кражи елки у московской пенсионерки,3
В Королеве возбудили дело об убийстве матери и пятилетнего сына,3
Китайские полицейские предотвратили атаку смертников,3
Полицейский в Мэриленде из пистолета ранил негра с ножом,3
Появилось видео задержания в Дагестане готовивших теракты в Москве боевиков ИГ,3
Бывший финский наркополицейский приговорен к тюрьме за контрабанду наркотиков,3
Видео с присягающим на верность ИГ берлинским террористом признано подлинным,3
Ограбивший отделение Сбербанка в Ростове-на-Дону мужчина объявлен в розыск,3
В Подмосковье задержали подозреваемого в убийстве женщины и ее пятилетнего сына,3
Задержаны похитители пяти картин Левитана из музея в Плесе,3
У безработных супругов в Москве отняли шесть миллионов рублей,3
На Ставрополье двое мужчин украли пиявок на миллион рублей,3
В Новосибирской области шестеро братьев убили мужчину за дачу показаний,3
В Германии задержан вероятный сообщник берлинского террориста,3
Сотрудника Росприроднадзора заподозрили в мошенничестве,3
Ранивший из ружья трех полицейских москвич взял заложницу,3
Ранивший из ружья пять человек москвич покончил с собой,3
Толпа нигерийцев линчевала террористку-неудачницу с поясом смертника,3
Стали известны подробности захвата заложницы в Москве,3
В Орехово-Зуево охранник задержал пытавшегося захватить банк,3
Захвативший банк в Подмосковье обещал покончить с собой из-за банкротства,3
Полиция задержала подельника стрелявшего на Ельнинской улице,3
Вор в законе украл из квартиры в Красногорске часы и бутылку коньяка,3
Сбежавший из психбольницы француз зарезал трех человек,3
Появилось видео с раненными при стрельбе на Ельнинской улице полицейскими,3
Освобождение заложницы из квартиры на Ельнинской улице попало на видео,3
После избиения мужчины за попытку снять бумажку с номера машины возбудили дело,3
Из колонии в Иркутской области сбежали двое заключенных,3
В Москве угнали автомобиль за пять миллионов рублей,3
Полиция обнаружила арсенал оружия с минометом в подмосковной квартире,3
Китаец попытался ограбить банк с помощью экскаватора,3
В Индии разгромили сеть торговцев детьми,3
Жительница Мытищ выбросила с 15-го этажа семилетнюю дочь,3
Задержан подозреваемый в убийстве девочки в Москве,3
В Дагестане бандиты обстреляли полицейский наряд на трассе,3
В Северной Каролине в результате стрельбы погибли 4 человека,3
